store_num,lon,lat,geolocation,description,address,locdate
373,-118.114954,34.079,"34.079,-118.114954",Starbucks - CA - ALHAMBRA [W]  00373,"Valley & Almansor, Alhambra_810 E VALLEY BLVD_ALHAMBRA, California 918015225_(626) 284-2472",2021-11-18
374,-117.4283,34.6267,"34.6267,-117.4283",Starbucks - CA - Adelanto [WD]  00374,"Palmdale & Hwy 395, Adelanto_14136 US Hwy 395_Adelanto, California 923016700_760-530-9252",2021-11-18
375,-118.7573187,34.15343545,"34.15343545,-118.7573187",Starbucks - CA - Agoura Hills  00375,"Vons-Agoura Hills #2001_5671 Kanan Rd._Agoura Hills, California 91301_818-991-2857",2021-11-18
376,-118.757134,34.1606,"34.1606,-118.757134",Starbucks - CA - Agoura [W]  00376,"Agoura_5827 Canan Road_Agoura, California 91301_(818) 735-0268",2021-11-18
377,-122.277604,37.788222,"37.788222,-122.277604",Starbucks - CA - Alameda  00377,"Albertsons-Alameda #7031_815 Marina Village_Alameda, California 94501_510-521-9113",2021-11-18
378,-122.253388,37.757099,"37.757099,-122.253388",Starbucks - CA - Alameda  00378,"Safeway - Alameda #2708_2227 South Shore Center_Alameda, California 94501_510-863-9000",2021-11-18
379,-122.233245,37.76807,"37.76807,-122.233245",Starbucks - CA - Alameda  00379,"Tilden & Blanding - Alameda_2671 Blanding Avene_Alameda, California 94501_510-337-1091",2021-11-18
380,-122.2432424,37.76369586,"37.76369586,-122.2432424",Starbucks - CA - Alameda [W]  00380,"Park Street & Central - Alameda_1364 Park Street_Alameda, California 94501_510-521-5815",2021-11-18
381,-122.252229,37.75665,"37.75665,-122.252229",Starbucks - CA - Alameda [W]  00381,"South Shore Shopping Center_2210-J South Shore Drive_Alameda, California 94501_(510) 749-9595",2021-11-18
382,-122.2761122,37.77965876,"37.77965876,-122.2761122",Starbucks - CA - Alameda [W]  00382,"Webster & Atlantic - Alameda_720 Atlantic Avenue_Alameda, California 94501_510-337-1580",2021-11-18
383,-122.0337703,37.8501398,"37.8501398,-122.0337703",Starbucks - CA - Alamo  00383,"Safeway-Alamo #962_200 Alamo Plaza_Alamo, California 94507_925-820-8022",2021-11-18
384,-122.0319981,37.8492748,"37.8492748,-122.0319981",Starbucks - CA - Alamo [W]  00384,"Las Trampas & Danville- Alamo_3225 Danville Boulevard_Alamo, California 94507_(925) 362-9568",2021-11-18
385,-122.30793,37.88531,"37.88531,-122.30793",Starbucks - CA - Albany  00385,"Target Albany T-1926_1057 Eastshore Hwy_Albany, California 94706",2021-11-18
386,-118.151899,34.079716,"34.079716,-118.151899",Starbucks - CA - Alhambra [W]  00386,"Fremont Ave & Mission Rd_1131 S Fremont Ave_Alhambra, California 91803_626-457-5234",2021-11-18
387,-118.1228761,34.07855268,"34.07855268,-118.1228761",Starbucks - CA - Alhambra [W]  00387,"Garfield & Valley, Alhambra_1 East Valley Blvd._Alhambra, California 918015115_626-576-1248",2021-11-18
388,-118.1279698,34.09456236,"34.09456236,-118.1279698",Starbucks - CA - Alhambra [W]  00388,"Main & 1st - Alhambra_101 W. Main Street_Alhambra, California 91801_(626) 282-1171",2021-11-18
389,-117.703145,33.575604,"33.575604,-117.703145",Starbucks - CA - Aliso Viejo [W]  00389,"Aliso Viejo_27072 La Paz Road_Aliso Viejo, California 92653_949-362-1415",2021-11-18
390,-122.263695,38.165844,"38.165844,-122.263695",Starbucks - CA - American Canyon  00390,"Safeway-American Canyon #1883_103 American Canyon Rd_American Canyon, California 94503",2021-11-18
391,-122.24529,38.171,"38.171,-122.24529",Starbucks - CA - American Canyon [WD]  00391,"Napa Junction & Hwy 29 - American C_6050 Main St_American Canyon, California 94503_7075572705",2021-11-18
392,-122.26392,38.165852,"38.165852,-122.26392",Starbucks - CA - American Canyon [W]  00392,"American Canyon & Highway 29_101 W American Canyon Rd_American Canyon, California 94503_707-649-2067",2021-11-18
393,-117.9178582,33.79963958,"33.79963958,-117.9178582",Starbucks - CA - Anaheim  00393,"Anaheim Marriott Hotel_700 W. Convention Way_Anaheim, California 92802",2021-11-18
394,-117.9190496,33.79959067,"33.79959067,-117.9190496",Starbucks - CA - Anaheim  00394,"Hilton - Anaheim Hotel Lobby_777 Convention Way_Anaheim, California 92802_714-740-4791",2021-11-18
395,-117.914482,33.836449,"33.836449,-117.914482",Starbucks - CA - Anaheim  00395,"Lincoln & Anaheim, Anaheim_110  West Lincoln Avenue_Anaheim, California 928052901_714-999-6876",2021-11-18
396,-117.7519695,33.86854485,"33.86854485,-117.7519695",Starbucks - CA - Anaheim  00396,"Vons-Anaheim Hills #2216_8010 E Santa Ana Canyon Rd_Anaheim, California 928081102_714-282-7064",2021-11-18
397,-117.7922813,33.85133277,"33.85133277,-117.7922813",Starbucks - CA - Anaheim Hills  00397,"Vons-Anaheim #2103_5600 E Santa Ana Canyon Rd_Anaheim Hills, California 92807",2021-11-18
398,-117.788732,33.851543,"33.851543,-117.788732",Starbucks - CA - Anaheim Hills [W]  00398,"Santa Ana Canyon & Imperial Hwy, An_5741 E. Santa Ana Canyon Road_Anaheim Hills, California 928073229_714-685-0871",2021-11-18
399,-117.791645,33.85987581,"33.85987581,-117.791645",Starbucks - CA - Anaheim Hills [W]  00399,"Anaheim Hills_5655 E. La Palma_Anaheim Hills, California 92807_(714) 970-5790",2021-11-18
400,-117.7395659,33.86345977,"33.86345977,-117.7395659",Starbucks - CA - Anaheim Hills [W]  00400,"Sycamore Canyon Plaza - Anaheim Hil_721 South Weir Canyon Road_Anaheim Hills, California 92808_(714) 998-2622",2021-11-18
401,-117.744356,33.863973,"33.863973,-117.744356",Starbucks - CA - Anaheim Hills [W]  00401,"Weir Canyon & Monte Vista_8295 E. Monte Vista Road_Anaheim Hills, California 928081249_714-282-0231",2021-11-18
402,-117.8373923,33.85501077,"33.85501077,-117.8373923",Starbucks - CA - Anaheim [WD]  00402,"Tustin & 91 Fwy, Anaheim_1070 N. Tustin Avenue_Anaheim, California 92807_714-630-1995",2021-11-18
403,-117.941573,33.84116153,"33.84116153,-117.941573",Starbucks - CA - Anaheim [W]  00403,"Euclid & Crescent, Anaheim_681 N. Euclid Street_Anaheim, California 92801_714-284-0365",2021-11-18
404,-117.958873,33.81776518,"33.81776518,-117.958873",Starbucks - CA - Anaheim [W]  00404,"Brookhurst & Ball, Anaheim_2219 W. Ball Road_Anaheim, California 928045314_714-520-0337",2021-11-18
405,-117.883338,33.805641,"33.805641,-117.883338",Starbucks - CA - Anaheim [W]  00405,"Katella & 57 Fwy, Anaheim_2420 E. Katella Avenue_Anaheim, California 928065901_714-634-3703",2021-11-18
406,-117.8938678,33.80158348,"33.80158348,-117.8938678",Starbucks - CA - Anaheim [W]  00406,"Stadium Crossings - Anaheim_2035 E. Katella Ave._Anaheim, California 92805_714-634-4164",2021-11-18
407,-122.3248,40.4562,"40.4562,-122.3248",Starbucks - CA - Anderson  00407,"Safeway - Anderson #273_17539 Vierra Canyon_Anderson, California 96007",2021-11-18
408,-120.5551201,38.07990289,"38.07990289,-120.5551201",Starbucks - CA - Angels Camp [WD]  00408,"Hwy 4 & Hwy 49 - Angels Camp_27 N. Main Street_Angels Camp, California 95221_209-736-1297",2021-11-18
409,-121.3769968,38.71795184,"38.71795184,-121.3769968",Starbucks - CA - Antelope [WD]  00409,"Elverta & Walerga - Antelope_4241 Elverta Road_Antelope, California 95843_916-721-5082",2021-11-18
410,-121.80573,37.99698,"37.99698,-121.80573",Starbucks - CA - Antioch  00410,"Safeway-Antioch #1259_3365 Deer Valley Rd_Antioch, California 94509_925-706-4105",2021-11-18
411,-121.784687,37.96744918,"37.96744918,-121.784687",Starbucks - CA - Antioch [WD]  00411,"Antioch_4448 Lone Tree Way_Antioch, California 94509_(925) 778-3001",2021-11-18
412,-121.7860158,37.96796292,"37.96796292,-121.7860158",Starbucks - CA - Antioch [WD]  00412,"Lone Tree & Slatten Ranch - Antioch_5779 Lone Tree Way_Antioch, California 94531_925-754-9377",2021-11-18
413,-121.805999,38.003835,"38.003835,-121.805999",Starbucks - CA - Antioch [W]  00413,"18th & A - Antioch_1896 A Street_Antioch, California 94531_925-522-8207",2021-11-18
414,-117.2442133,34.47103242,"34.47103242,-117.2442133",Starbucks - CA - Apple Valley  00414,"Target Apple Valley T-939_19201 Bear Valley Rd_Apple Valley, California 92308",2021-11-18
415,-117.21929,34.525615,"34.525615,-117.21929",Starbucks - CA - Apple Valley [W]  00415,"Rancheras & Hwy 18, Apple Valley_20226 US Highway 18_Apple Valley, California 923072938_760-242-5633",2021-11-18
416,-121.9075112,36.97870222,"36.97870222,-121.9075112",Starbucks - CA - Aptos  00416,"Safeway-Aptos #640_16 Rancho Del Mar_Aptos, California 95003",2021-11-18
417,-121.9004,36.9765,"36.9765,-121.9004",Starbucks - CA - Aptos [W]  00417,"Soquel & Trout Gulch - Aptos_105 B Post Office Drive_Aptos, California 95033_8316870921",2021-11-18
418,-118.0231553,34.10843817,"34.10843817,-118.0231553",Starbucks - CA - Arcadia  00418,"Albertsons-Arcadia #6561_298 E Live Oak Ave_Arcadia, California 91006_626-446-1416",2021-11-18
419,-118.0679847,34.12226744,"34.12226744,-118.0679847",Starbucks - CA - Arcadia  00419,"Vons - Arcadia #3208_745 E Naomi Ave_Arcadia, California 91007",2021-11-18
420,-118.0233603,34.14013025,"34.14013025,-118.0233603",Starbucks - CA - Arcadia [W]  00420,"300 E. Huntington Dr. - Arcadia_300 E Huntington Drive_Arcadia, California 91006_626-574-1971",2021-11-18
421,-118.055758,34.12393407,"34.12393407,-118.055758",Starbucks - CA - Arcadia [W]  00421,"Arcadia_733 West Naomi_Arcadia, California 91006_626-447-5094",2021-11-18
422,-120.6056362,35.12077807,"35.12077807,-120.6056362",Starbucks - CA - Arroyo Grande [W]  00422,"Grand & Courtland, Arroyo Grande_1421 Grand Ave_Arroyo Grande, California 93420_805-489-8334",2021-11-18
423,-120.5916373,35.12425004,"35.12425004,-120.5916373",Starbucks - CA - Arroyo Grande [W]  00423,"West Branch & Rancho Parkway_924 West Branch_Arroyo Grande, California 93420_805-473-9492",2021-11-18
424,-118.0820999,33.87311766,"33.87311766,-118.0820999",Starbucks - CA - Artesia [W]  00424,"Pioneer & Artesia, Artesia_11809 Artesia Blvd._Artesia, California 907014002_562-860-5444",2021-11-18
425,-120.6652638,35.47423353,"35.47423353,-120.6652638",Starbucks - CA - Atascadero  00425,"Albertsons-Atascadero #1690/6390_8200 Curbaril Ave._Atascadero, California 93422_805-462-0379",2021-11-18
426,-120.70302,35.526337,"35.526337,-120.70302",Starbucks - CA - Atascadero [D]  00426,"El Camino & Santa Cruz, Atascadero_955 El Camino Real_Atascadero, California 934221424_8054609354",2021-11-18
427,-120.6628732,35.48474519,"35.48474519,-120.6628732",Starbucks - CA - Atascadero [W]  00427,"El Camino Real & Morro, Atascadero_7135 El Camino Real_Atascadero, California 93422_805-462-1849",2021-11-18
428,-120.613518,37.3604,"37.3604,-120.613518",Starbucks - CA - Atwater [D]  00428,"Bellevue & Winton - Atwater_1861 Bellevue Road_Atwater, California 95301_209-357-2491",2021-11-18
429,-121.080564,38.877266,"38.877266,-121.080564",Starbucks - CA - Auburn  00429,"Auburn Folsom & Sacramento - Auburn_660 Auburn Folsom Rd_Auburn, California 95603_530-889-8023",2021-11-18
430,-121.0921941,38.94250878,"38.94250878,-121.0921941",Starbucks - CA - Auburn [WD]  00430,"Bell & Highway 49 - Auburn_2815 Bell Road_Auburn, California 95603_530-887-1874",2021-11-18
431,-121.094254,39.0425,"39.0425,-121.094254",Starbucks - CA - Auburn [WD]  00431,"Hwy 49 & Combie - Auburn_10005 Combie Rd_Auburn, California 95602_530-268-0634",2021-11-18
432,-121.0761474,38.90395451,"38.90395451,-121.0761474",Starbucks - CA - Auburn [W]  00432,"Auburn Town Center_392 Elm Avenue_Auburn, California 95603_(530) 823-1528",2021-11-18
433,-121.0581499,38.92081529,"38.92081529,-121.0581499",Starbucks - CA - Auburn [W]  00433,"Lincoln & Foresthill - Auburn_13345 Lincoln Way_Auburn, California 95603_530-745-0661",2021-11-18
434,-117.8836472,34.12870314,"34.12870314,-117.8836472",Starbucks - CA - Azusa [W]  00434,"Alosta & Barranca, Azusa_1119 E. Alosta Avenue_Azusa, California 917022740_626-335-6763",2021-11-18
435,-117.9078,34.1334,"34.1334,-117.9078",Starbucks - CA - Azusa [W]  00435,"Foothill & Azusa, Azusa_118 W. Foothill Blvd._Azusa, California 917022524_626-334-7267",2021-11-18
436,-116.061104,35.4106,"35.4106,-116.061104",Starbucks - CA - Baker [WD]  00436,"Baker & Mojave Pointe, Baker_56383 Mojave Pointe_Baker, California 92309_760-733-4128",2021-11-18
437,-119.04093,35.2959,"35.2959,-119.04093",Starbucks - CA - Bakersfield  00437,"Albertsons - Bakersfield #6323_3500 Panama Ln_Bakersfield, California 93313",2021-11-18
438,-119.0932902,35.3182581,"35.3182581,-119.0932902",Starbucks - CA - Bakersfield  00438,"Albertsons-Bakersfield #6325_7900 White Lane_Bakersfield, California 93311_661-836-9691",2021-11-18
439,-119.14679,35.38337,"35.38337,-119.14679",Starbucks - CA - Bakersfield  00439,"Albertsons-Bakersfield #6377_13045 Rosedale Hwy_Bakersfield, California 93312_661-587-0153",2021-11-18
440,-119.0187784,35.36857392,"35.36857392,-119.0187784",Starbucks - CA - Bakersfield  00440,"Chester & California, Bakersfield_1200 Chester Avenue_Bakersfield, California 93301_661-336-0645",2021-11-18
441,-119.102264,35.339935,"35.339935,-119.102264",Starbucks - CA - Bakersfield  00441,"Vons - Bakersfield #2420_9000 Ming Ave_Bakersfield, California 93311_970-879-3290",2021-11-18
442,-119.0664,35.3544,"35.3544,-119.0664",Starbucks - CA - Bakersfield  00442,"Vons-Bakersfield #1969_5700 Stockdale Hwy_Bakersfield, California 93309",2021-11-18
443,-119.0582569,35.41244764,"35.41244764,-119.0582569",Starbucks - CA - Bakersfield [D]  00443,"Olive & Knudsen, Bakersfield_5210 Olive Drive_Bakersfield, California 93308_661-399-4090",2021-11-18
444,-119.0152813,35.38118245,"35.38118245,-119.0152813",Starbucks - CA - Bakersfield [WD]  00444,"24th & L Street, Bakersfield_1201 24th Street_Bakersfield, California 933012310_661-324-1267",2021-11-18
445,-119.092299,35.310587,"35.310587,-119.092299",Starbucks - CA - Bakersfield [WD]  00445,"Gosford & Pacheco, Bakersfield_5041 Gosford Road_Bakersfield, California 933134993_661-664-9589",2021-11-18
446,-118.967388,35.3936373,"35.3936373,-118.967388",Starbucks - CA - Bakersfield [WD]  00446,"Mt Vernon & Hwy 178, Bakersfield_2659 Mt Vernon Avenue_Bakersfield, California 933062900_661-871-6497",2021-11-18
447,-119.1044016,35.38347739,"35.38347739,-119.1044016",Starbucks - CA - Bakersfield [WD]  00447,"Rosedale & Calloway, Bakersfield_9200 Rosedale Hwy_Bakersfield, California 93312_661-587-3661",2021-11-18
448,-118.949699,35.3977,"35.3977,-118.949699",Starbucks - CA - Bakersfield [WD]  00448,"Oswell & Auburn, Bakersfield_2701 Oswell Street_Bakersfield, California 933062701_661-871-6041",2021-11-18
449,-119.054597,35.317927,"35.317927,-119.054597",Starbucks - CA - Bakersfield [WD]  00449,"White & Stine, Bakersfield_4701 White Lane_Bakersfield, California 933096392_(661) 833-6927",2021-11-18
